task_id	task_path	qualifying_status_evidence	extracted_resolved_commit_ids	baseline_ancestry	unresolved_non_commit_tokens	disposition_or_canonical_reference
T-0009d1-set-once-transition-validation	build-protocol/tasks/T-0009d1-set-once-transition-validation/TASK.md	Status: Complete and integrated to `main`	1d939d7767d24ceb72c0e71ff73a194c4b668def,88cb0f330a0a24ff8eee0bde2c3ea35ee4a4085c,345c093181dc3ae2e450f8e8d5220afead3fec2b,e32f9066259e9031bed4ad1127bea77f8f612ccb,cd98ca3a51c41390650bb77a57866713c7fd4e98,70c00528918dc81167de11161cac07dc348a114f,01cfb4788737c828faa82132c30723d002f15eda,3ccca04819ff11e81479b8929b944a64753875c2,e2369ccebe26062bb0092a6f9fd5d0c3724f5d19,d61874b6815adbc6fe161bcb2dba3672e986591f,3d2cb06c5f86e95a505054890024b941af0526fc	all-resolved-commits-are-baseline-ancestors	019f13a4,7b16366b0701	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009d2-entity-transaction-kernel	build-protocol/tasks/T-0009d2-entity-transaction-kernel/TASK.md	Status: Complete and integrated to `main`	3d081953d7ecb35ae36c6607cde622d2727fbf6e,9e145b9e9465f33d70303fdcbcec3570598b095c,2b3f3e9b6137e215969672597ae9af7425720508,5c182d3dc8a4f86dd113b4dd7bc904964fd40e86,5367bb81905ee2cacacd1afacdc49be115aa65d2,7b13f1c97735e7d896eb8c2b4c0239b2b72cce39,ca95f41ec5bded5acb227c23862f19732fce421e,285710cf976e076031cec01e8ea6cbf62930a1a4,7c267eed9ef4297dc784266420e30be1f262fc33	all-resolved-commits-are-baseline-ancestors	019f14c2,3f891b1880f7,019f14c7,d0ce2dc487bf,019f14db,46a44d0c00e3,019f14d7,cba488c467e1,f1425c74df13,7dbda8f50b8b,ccc03d6d3c6a,019f14d8,dd1a2bbe5526,019f14e4,816465957fa2,1a85a798ba42,b3f76562e306,a9fc38b43240,5a68966374d0,0009d2c	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009d2b-lifecycle-version-helpers	build-protocol/tasks/T-0009d2b-lifecycle-version-helpers/TASK.md	Status: Complete	2127b864459c233f789658d8f4d773004ffb2f94,5c182d3dc8a4f86dd113b4dd7bc904964fd40e86,3bdf0766bb61d99fe7900c36f69e5f68e3b70431,7a9363ecb571e5de3f23af15775fefbe0e55e305	all-resolved-commits-are-baseline-ancestors	0009d2b,019f14c2,3f891b1880f7,019f14f3,c447260122c6,019f1500,f2d7273aa79c,a0eca1b0408a,c500411fcfaa,edf650aac991,8fca64c8fcee	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009d2c-public-api-closure	build-protocol/tasks/T-0009d2c-public-api-closure/TASK.md	Status: Complete	5367bb81905ee2cacacd1afacdc49be115aa65d2,8e8230a93b184dd447807ffeb6d527b2e4cd0126,4807f6f11b7c1931237bd70b0676078a885c5a6c,b6abcd6d836b60637341d7da90ea00ce9cd24142,e606cfffcf9b43b58a7c76c50c64c727df425a51,5361b7e84e252fef606cde095f5d0065647cb3a9,19b4805140c96d4768b186ce8cdb576dde534a6d	all-resolved-commits-are-baseline-ancestors	0009d2c,019f14c2,3f891b1880f7,019f1510,a2230ae582ad,019f151d,70aa07809628,019f151a,3a660a96bf2e,b16ba546ba02,224328e56ef5,12db5c964d05,d440c7c2f436,019f1522,239e5aae1690,e89b69d03b66,7dc6886be5fd,768d2c7ac10a,971fa574543d	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009e-entity-base-classes	build-protocol/tasks/T-0009e-entity-base-classes/TASK.md	Status: Integrated To Main; Main Verification Passed	47eae4e183885740214c87baee9e0d56c96b91ec,26aa51030c8c7f43e3f16dfa1ce6e47d1b754f87,94dd6d1e79923f62b228f4af13a0edfed1f03650,3ff607b11bf68a117d3463c8800ac1f506f76212,f499ca8dc0123a6018ffb844473e48eec9a97ab8	all-resolved-commits-are-baseline-ancestors	019f1531,b24fc9a456c8,019f16b1,01320fe4dff0,019f16b3,1f8166478645	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009e1-common-entity-state-shell	build-protocol/tasks/T-0009e1-common-entity-state-shell/TASK.md	Status: Round 8 Review Complete; Integration Pending	2ca23fd4537ce849cf6274cf914d06cbd25d3287,4ade81d0c11b02d7bed354229c7e8cbb5c1b9d0e,aef6297d7df582fc87dd54722cf17d6e9d1e1082,50a1802cfdd99c555583dae87a31a99cfe163742,7bcb7f83a69d2d17add2dc0e428af65e2d67fea4,ae5110cce4c0d1c68c3629671eb79ddbda43f767,bff6e5efd3aac9dcf74261e363a15f8f104c5e14,98842f865b0d3a56c51a49b30f3bb887c21a9952,258d361d266133f883db9fa4b326d02dd82d68df,c79f92549b02eb80675c20ee19306623d6fe076d,a6a3791bfbad8abcc82ebc558be51636a4df33a1,5c62059fad07ad2609bae893049f1e9b637913b3	all-resolved-commits-are-baseline-ancestors	019f1531,b24fc9a456c8	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009e2-transactional-entity-draft-helpers	build-protocol/tasks/T-0009e2-transactional-entity-draft-helpers/TASK.md	Status: Implementation Complete; Review Clean	bd8d02e7280318c0256a2dca268018dd836e4698,13f8a05a4023ae9b97f41fdf01714742470e275a,a7acaca323daca6acb359c1a6174eadb68e51989,4e250b2a0dfc05254f113bac74b976730ff22ef8,424638547b061caa2db648abdbb22f6b82a7639a,bd4052afb741ee207109d5209695b2df6c6c35f4,23b757f3636d724b620ee07567ac21216007fafe,f97701ab144702d7bffe62c5ea0f9bc34f283d6a,623f0d70c26c1dc6b09317a5c1048ebf11d0de08,b9456dc80c70be1842ec3810e12b62cb64975e66,f3a067dbcbf49370355aa4d45a1d82bf06d7ddbb,8be45712cf92bcf3b5130c6840376961901a8e1c,808760f7ca2e0059186bad06027eef470453b90f,9e1a9cff27979a2b3cf7a68fe3f80fcf1e181938	all-resolved-commits-are-baseline-ancestors	019f1531,b24fc9a456c8,019f15ba,bd61564e0eb6	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009e3-family-capability-marker-classes	build-protocol/tasks/T-0009e3-family-capability-marker-classes/TASK.md	Status: Complete; Round 3 Clean	26aa51030c8c7f43e3f16dfa1ce6e47d1b754f87	all-resolved-commits-are-baseline-ancestors	-	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009e4-public-api-closure-and-verification	build-protocol/tasks/T-0009e4-public-api-closure-and-verification/TASK.md	Status: Complete; Integrated into parent branch as `f499ca8`; Parent Integration Verified	f499ca8dc0123a6018ffb844473e48eec9a97ab8,94dd6d1e79923f62b228f4af13a0edfed1f03650,7b602e42d86edd037b2f55fd057635c4ea231fa6	all-resolved-commits-are-baseline-ancestors	019f167d,62a098edf5f1,2cbf7c8a40df,d15971f21c13,131ca8d9f61b,2e5f88791cee	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009f-repository-seams	build-protocol/tasks/T-0009f-repository-seams/TASK.md	Status: Integrated To Main; Main Verification Passed	ec70945b831367882513fc56834755177c58a599,341948ed2515e068194518f367f2c51db9dc45b5,748798bb6888f92ed609b95ce8fa29e26742fe5f,32a664e3ba154804011dc04a689867fe3199da2b,855da4ab80747ec70a8e2e97a4f4d85a988ba860,28cabb48b8e7c1080e563f6d181d93630667c61e,42f381f707c0f9a948c6f99ed499922704a1d2f3,7613ff3b7405a77d234325d76fcea337b81f4f59,730be054f092cc2003ee32d92573bd20b7a4cc19	all-resolved-commits-are-baseline-ancestors	019f16c7,7c4ce7fc8e9c	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009f2-repository-identity-seam	build-protocol/tasks/T-0009f2-repository-identity-seam/TASK.md	Status: Integrated Into Parent; Parent Verification Passed	a6e72bed3a2e92c8263d8dba659fa24192492b50	all-resolved-commits-are-baseline-ancestors	-	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009f3-builder-registration	build-protocol/tasks/T-0009f3-builder-registration/TASK.md	Status: Integrated Into Parent; Parent Verification Passed	40c1b528f00bd29400ec28c73002323278b8e7fc,108d5fa5509555d7051152854a1cb124a5cfa292	all-resolved-commits-are-baseline-ancestors	-	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009f4-context-snapshot-public-closure	build-protocol/tasks/T-0009f4-context-snapshot-public-closure/TASK.md	Status: Complete; Final Verification Passed	855da4ab80747ec70a8e2e97a4f4d85a988ba860,b828c41a91df5935b421c4c52fa1f02e627da123,fc5b3490bdca81d5910214b7d49f946ab26378de	all-resolved-commits-are-baseline-ancestors	019f1886,211d5758a3a6,019f188e,4b37a97e891a,47618dd44a6b,6319bdaf0d15,3b74fdfd1654,40fe2d15e0b3,019f1891,59a601487384,019f1897,8db8e027737f,ba7bbfb2b280	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0009f5-verification-review-closure	build-protocol/tasks/T-0009f5-verification-review-closure/TASK.md	Status: Complete; Final Verification Passed	42f381f707c0f9a948c6f99ed499922704a1d2f3,81925221e64ee36c1cc6aab8db57b0fc330e0abb	all-resolved-commits-are-baseline-ancestors	019f18b3,a8a6f6f48210,fe41bd100873,7e4c4ac3f4d9,2c96049cb294,019f18b4,510de53c2f40	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0010-1-runtime-lifecycle-queue	build-protocol/tasks/T-0010-1-runtime-lifecycle-queue/TASK.md	Status: Complete; Final Verification Passed	70692a9b6572420c3f4d7d492cd61755564ccdea,450b8c007e3acbfa19d4f3bfd4e8bd48d3027e93,b95cf56b27ab8cf96cf605fc1b6b7ddca38a8fb0	all-resolved-commits-are-baseline-ancestors	-	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0010-2-bounded-context-runtime-handle	build-protocol/tasks/T-0010-2-bounded-context-runtime-handle/TASK.md	Status: Review Complete; No Open Findings	d570bba22a6b363e198d8089911167a18d5d5a76,f8fe7fd6d03c17f7476b3d0dd27723775d167be7	all-resolved-commits-are-baseline-ancestors	-	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0010-3-write-side-signal-intake-result	build-protocol/tasks/T-0010-3-write-side-signal-intake-result/TASK.md	Status: Review Complete; No Open Findings	4d58ba8d1d7ba6e821421b86a59f20cc584eb641	all-resolved-commits-are-baseline-ancestors	-	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0010-4-command-registration-readiness	build-protocol/tasks/T-0010-4-command-registration-readiness/TASK.md	Status: Review Complete; No Open Findings	e5e7b1d1a39f074835cdb203c05c3dc59f9d6d51	all-resolved-commits-are-baseline-ancestors	feedbac	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0010-5-event-registration-readiness	build-protocol/tasks/T-0010-5-event-registration-readiness/TASK.md	Status: Review Complete; No Open Findings	20aaad19b18a692166ebabdff30f76535c6641b2,dc55fa3382ed1a1c917abce200ffd10ce701c12b	all-resolved-commits-are-baseline-ancestors	019f198d,4c49d776e370,019f199d,5ea128774140,019f1999,1c54f56daa6e,f23f3a75c943,019f199a,78f8c7286dac,5a3a08efd62e,bdc51f12ef81,019f19a9,5af1130724fa,897228a52f87,019f19af,99ca1fbc69ee,1704f5bcdc1a,71072b39822b,019f19aa,c56d2d2662db	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0010-6-runtime-closure-docs	build-protocol/tasks/T-0010-6-runtime-closure-docs/TASK.md	Status: Complete; Integrated Into Parent T-0010	94a28bf0c9a0d0a2cb3711a932beac7422942f37,d94bb390b591b1ad257475acac577eb93b21d32f,bf92cd88cc23612cf04f53274e40ac6d88b636bb,a82655dbf5f0a61a9f2b92105aea05f0633c9d30,cbff7f58713ceba0cf70a22930d922f1eae334ce,2441543972cec6cf6c9f83b4214648ba3edfc0d6,a2beb6862b595190a8ab21de5a3801af58393978,64c8e4ceacee875efa3cfd2eabe990c0af121de3,8dfbafb5c88b4747555debc5352a6b001e5b32e4	all-resolved-commits-are-baseline-ancestors	019f19c2,edc7c336018f,019f19ce,3d9653288000,bbd32c1e5c10,b06466ada00d,178a3350a124,c1476529a214,019f19d0,b1c448e8d5df,019f19d4,012db5290987,019f19d8,d009a7f14ecb,019f19dc,aebb531530e6,019f19df,c05deb7db5ae,cceeded	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0010-single-process-async-runtime	build-protocol/tasks/T-0010-single-process-async-runtime/TASK.md	Status: Complete and integrated	169af028fda821f37695974e3bff6f562befa454,556c23a7aa3c4b2ad70ff5b8efde3bd4ab7c54e8,d8ce7360617d44c7febb4e107e14c938fd6b9a13,575e1d3946f46ef376f04dc12bdfa025762dbb60,032257b6a49bf057ec4ebf484c1f6b4ca90b83a9,480d14ccdf282e9b002a1824d88cb12b0f10400f,64c8e4ceacee875efa3cfd2eabe990c0af121de3,8dfbafb5c88b4747555debc5352a6b001e5b32e4,70692a9b6572420c3f4d7d492cd61755564ccdea,d570bba22a6b363e198d8089911167a18d5d5a76,4d58ba8d1d7ba6e821421b86a59f20cc584eb641,e5e7b1d1a39f074835cdb203c05c3dc59f9d6d51,20aaad19b18a692166ebabdff30f76535c6641b2,94a28bf0c9a0d0a2cb3711a932beac7422942f37	all-resolved-commits-are-baseline-ancestors	019f18d6,be8943200c99,019f18e2,fb3cf0b5859f,019f18f1,994735ee337c,019f195f,5f7f1d94ebe2,019f196c,f1b9d8939ec2,019f198d,4c49d776e370,019f199d,5ea128774140,019f19c2,edc7c336018f,019f19d0,b1c448e8d5df,019f19d4,012db5290987,019f19d8,d009a7f14ecb,019f19dc,aebb531530e6,019f1979,ee0e8bb0ad4c,1f56c2adff15,fd272e8f5468,7f59499e1dda,38c286f5da1c,019f19df,c05deb7db5ae	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-1-transport-contracts	build-protocol/tasks/T-0011-1-transport-contracts/TASK.md	Status: Complete	7b54d6ca646e77610942369060f47889aaa228cd	all-resolved-commits-are-baseline-ancestors	019f1a2f,01dc736c4f74	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-2-zmq-adapter-package-wiring	build-protocol/tasks/T-0011-2-zmq-adapter-package-wiring/TASK.md	Status: Complete	54d7ba09589f3135dcd8ef7603f01504860602d4,1799a9e364b72f562159ab338b1f608db62b19ba	all-resolved-commits-are-baseline-ancestors	019f1a4d,f2f18c8bd38a,4b6dc94eb8b6,d61a1144566c,4a637f1a0eed,db11dbac71c2	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-3-local-ipc-smoke-tests	build-protocol/tasks/T-0011-3-local-ipc-smoke-tests/TASK.md	Status: Complete; Final Verification Passed	08d7e82539312b391a9b771ffbbed38b01733e37	all-resolved-commits-are-baseline-ancestors	019f1a60,661b1b25b57d,019f1a6b,3899e5b86b05,a99036203f99,2c2e49e66936,4318a47d8b13,46255fecc2bf,019f1a74,936c237d2dad,019f1a7b,e2ee71abb3b1	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-4-broker-worker-lifecycle-seam	build-protocol/tasks/T-0011-4-broker-worker-lifecycle-seam/TASK.md	Status: Complete; Final Verification Passed	4ed7db695f6ff02f60935ac56ae892255f398bcc	all-resolved-commits-are-baseline-ancestors	019f1a89,2b0bc7e6c316,019f1a97,516b18a137ef,019f1aa4,46b0c4a235a4,019f1a94,1eb563411539,019f1aa2,4995cc59cde6,019f1aaa,da2d204e2294,aff40e8c9fb1,534177b48228,80d78fdb4694,28df7ad3e1d9,704a9a3c02e9,d8465a472dbe,b3a89e51c17b,019f1a95,3380ac9840be,5952ebd45c0d	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-5-delivery-retry-boundary-contracts	build-protocol/tasks/T-0011-5-delivery-retry-boundary-contracts/TASK.md	Status: Complete; Final Review Clean	bc028bc27244b84b0d0074eb977fc990162134eb	all-resolved-commits-are-baseline-ancestors	019f1ac0,58c84f0d3e85	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-6-server-runtime-wiring-integration	build-protocol/tasks/T-0011-6-server-runtime-wiring-integration/TASK.md	Status: Complete	78346ab1a65682b64cfc5b4a3f6c35c57a960e28	all-resolved-commits-are-baseline-ancestors	019f1b72,b734213b1035	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-7-documentation-closure	build-protocol/tasks/T-0011-7-documentation-closure/TASK.md	Status: Complete	bac132c7ed261eadc8ab06173308469d95182089,05b63fb252420b61a56f8d5b20c6ca1dab984688	all-resolved-commits-are-baseline-ancestors	019f1bca,d6af149a4c60,019f1bd8,2e5dc4020810,9672985dc13c,5b75fdc1ae77,7f01b70a748e,019f1bd9,0f1c2c57e61d,019f1bdf,8da7b934e799,6784faebe885	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
T-0011-transport-foundation	build-protocol/tasks/T-0011-transport-foundation/TASK.md	Status: Complete	194ce9ee22c98159f16fddc92589298f9e2f9925,6c86ad1c9bf405a3600305d694e76da155051320,e9d14c3e0af22e77218a67bb17e9d2f1217f789f,6f5c53c899b0aef929fc9ca9d3912f07f6c4bc9c,78e3b0a6d53361fe2c9c6060af0202325ed20d78,d3d6269751997619f41d05ba4c9aa4db2fcf5293,05b63fb252420b61a56f8d5b20c6ca1dab984688,b9253ba51a4e5cc644c7cfc926df52b9238c6ca1,0d7d369dc44b3c8cc3f617b04182af9edf5d05ca	all-resolved-commits-are-baseline-ancestors	-	baseline@e6bdc0653a55c5c09a1af3742e74626b81c43217
